fish_size_category,protein_level_percent,feed_type,feeding_rate_percent,feeding_frequency_per_day,water_temperature_c,feeding_method,pellet_size_mm,pellet_hardness,natural_feeding_habit,stock_density_fish_per_m3,dissolved_oxygen_mgL,growth_efficiency
Juvenile_0.5_10g,39.8,Crumbles,6.6,4,28.7,Hand_Feeding,1.1,Soft,Plankton_Feeder,48.8,7.2,Good
Juvenile_0.5_10g,36.5,Crumbles,7.9,4,30.5,Hand_Feeding,0.9,Soft,Plankton_Feeder,11.9,7.9,Poor
Juvenile_10_35g,31.9,Juvenile_Pellet,13.6,3,26.7,Feeding_Bag,2,Soft,Omnivorous,48.6,7,Poor
Adult_35g_plus,27.2,Adult_Pellet,2.1,3,32.8,Hand_Feeding,3.2,Soft,Omnivorous,17.3,6.8,Good
Juvenile_10_35g,30.2,Juvenile_Pellet,9,4,28.4,Hand_Feeding,1.9,Soft,Omnivorous,17.8,3.2,Good
Juvenile_0.5_10g,39.1,Mash_Powder,7.8,2,28.8,Hand_Feeding,0.1,Hard,Plankton_Feeder,42.1,3.4,Poor
Juvenile_0.5_10g,35,Crumbles,12.3,4,25.9,Feeding_Bag,1.2,Soft,Plankton_Feeder,28,3.5,Good
Adult_35g_plus,28,Adult_Pellet,3.1,4,27.2,Feeding_Bag,3.3,Medium,Omnivorous,40.4,5.8,Good
Juvenile_10_35g,32.1,Crumbles,5.3,3,24.5,Hand_Feeding,0.6,Soft,Omnivorous,34.2,5.7,Good
Juvenile_10_35g,33.5,Juvenile_Pellet,8,2,30.6,Feeding_Bag,2.1,Medium,Omnivorous,42.1,3.9,Poor
Adult_35g_plus,29.5,Adult_Pellet,2.7,2,31.2,Hand_Feeding,2.7,Soft,Omnivorous,16.6,5.7,Good
Juvenile_0.5_10g,36.2,Mash_Powder,7.2,2,27.3,Hand_Feeding,0.1,Soft,Plankton_Feeder,12.6,4.3,Good
Adult_35g_plus,25.7,Adult_Pellet,4.9,2,26.9,Hand_Feeding,2.9,Soft,Omnivorous,37.2,5.7,Good
Juvenile_10_35g,30.4,Crumbles,13,2,27.8,Hand_Feeding,0.7,Soft,Omnivorous,35.3,5.7,Good
Juvenile_0.5_10g,35.9,Mash_Powder,10.9,4,24.1,Hand_Feeding,0.1,Hard,Plankton_Feeder,37.6,4.9,Poor
Juvenile_0.5_10g,35.6,Crumbles,7.6,3,28.2,Feeding_Bag,1.4,Hard,Plankton_Feeder,30.7,4.3,Poor
Juvenile_10_35g,34.4,Crumbles,12,3,28.3,Feeding_Bag,0.8,Soft,Omnivorous,35.7,3.4,Good
Juvenile_10_35g,30,Crumbles,5.1,3,28.3,Hand_Feeding,1.2,Soft,Omnivorous,37.7,6.3,Good
Juvenile_0.5_10g,36.6,Crumbles,13.5,4,30.1,Hand_Feeding,1.1,Hard,Plankton_Feeder,20.6,4.2,Poor
Adult_35g_plus,28.2,Adult_Pellet,3.7,2,32.7,Hand_Feeding,3.3,Soft,Omnivorous,38.9,4.4,Poor
Juvenile_0.5_10g,39.7,Crumbles,8.7,4,29.2,Feeding_Bag,1.4,Soft,Plankton_Feeder,13,4.5,Good
Juvenile_10_35g,31.9,Crumbles,14.3,3,27.8,Hand_Feeding,1.3,Soft,Omnivorous,34.6,8,Good
Adult_35g_plus,28.7,Adult_Pellet,3.1,4,30.3,Hand_Feeding,3.6,Soft,Omnivorous,34.5,3.4,Poor
Juvenile_0.5_10g,35.4,Mash_Powder,5.5,4,26.5,Hand_Feeding,0.1,Soft,Plankton_Feeder,25,3.5,Poor
Juvenile_10_35g,32.7,Crumbles,5.3,2,25.8,Feeding_Bag,1.1,Soft,Omnivorous,20.9,7.8,Good
Juvenile_0.5_10g,37.1,Crumbles,6.3,3,27.2,Hand_Feeding,0.6,Soft,Plankton_Feeder,22.9,7,Good
Fry_Larvae,50,Mash_Powder,29.4,8,29.3,Hand_Feeding,0.1,Soft,Plankton_Feeder,46.6,5.2,Poor
Juvenile_0.5_10g,39.7,Crumbles,11.6,2,30.2,Hand_Feeding,1,Soft,Plankton_Feeder,26.8,4.2,Poor
Fry_Larvae,50,Mash_Powder,15.7,5,27.4,Feeding_Bag,0.1,Soft,Plankton_Feeder,42.3,4.7,Poor
Fry_Larvae,50,Mash_Powder,28.3,7,32.7,Hand_Feeding,0.1,Medium,Plankton_Feeder,35,5.5,Good
Juvenile_0.5_10g,35.4,Crumbles,10.9,3,28.3,Hand_Feeding,0.5,Medium,Plankton_Feeder,15.1,7.1,Good
Adult_35g_plus,28.3,Adult_Pellet,2.6,3,29.7,Hand_Feeding,2.9,Soft,Omnivorous,13.8,6.4,Good
Adult_35g_plus,25.1,Adult_Pellet,2.4,2,30.4,Hand_Feeding,2.9,Soft,Omnivorous,26.7,7.8,Good
Juvenile_10_35g,32.9,Crumbles,7.5,4,31.6,Feeding_Bag,0.6,Medium,Omnivorous,44.3,5.1,Poor
Fry_Larvae,50,Mash_Powder,22.6,6,26.7,Hand_Feeding,0.1,Medium,Plankton_Feeder,12.1,7.8,Good
Broodstock,30,Adult_Pellet,3.5,2,30.4,Hand_Feeding,3.2,Soft,Omnivorous,34.1,5.8,Good
Adult_35g_plus,25.6,Adult_Pellet,5,4,32.5,Hand_Feeding,4,Soft,Omnivorous,40.5,6.1,Good
Adult_35g_plus,25.4,Adult_Pellet,2.2,2,29,Hand_Feeding,3.6,Medium,Omnivorous,33.3,7.3,Good
Broodstock,30,Adult_Pellet,4.1,4,22.2,Hand_Feeding,3,Soft,Omnivorous,46.3,3.6,Good
Juvenile_10_35g,30.3,Crumbles,11.5,2,27.1,Hand_Feeding,0.6,Soft,Omnivorous,19.5,5,Poor
Juvenile_10_35g,32.2,Juvenile_Pellet,10.6,2,27.3,Feeding_Bag,2.5,Hard,Omnivorous,13,5.8,Good
Juvenile_10_35g,33.5,Crumbles,10.8,4,27.7,Hand_Feeding,1.1,Medium,Omnivorous,21.2,7.8,Good
Juvenile_10_35g,31.4,Crumbles,8.5,2,26.1,Hand_Feeding,1,Soft,Omnivorous,28.1,3.2,Good
Juvenile_10_35g,31.4,Crumbles,14.4,4,28.4,Feeding_Bag,0.6,Hard,Omnivorous,34.5,5.1,Good
Fry_Larvae,50,Mash_Powder,20.6,4,28.7,Feeding_Bag,0.1,Soft,Plankton_Feeder,43.7,7.2,Good
Juvenile_0.5_10g,35.3,Crumbles,15,3,25.3,Feeding_Bag,1.3,Medium,Plankton_Feeder,33.4,6.6,Good
Juvenile_0.5_10g,36,Mash_Powder,7.7,3,28.8,Hand_Feeding,0.1,Soft,Plankton_Feeder,14.5,6.4,Good
Juvenile_10_35g,34.3,Crumbles,13.8,2,27.4,Hand_Feeding,1.1,Medium,Omnivorous,29.2,5.1,Good
Adult_35g_plus,29.5,Adult_Pellet,3.8,4,30.1,Feeding_Bag,4,Medium,Omnivorous,23.9,5.6,Good
Juvenile_10_35g,34.3,Juvenile_Pellet,14.3,3,33.1,Feeding_Bag,1.6,Medium,Omnivorous,12.6,3.2,Poor
Juvenile_0.5_10g,37.9,Mash_Powder,10.4,4,33.9,Hand_Feeding,0.1,Soft,Plankton_Feeder,35.6,3.9,Poor
Juvenile_10_35g,33.3,Crumbles,5.4,2,25.2,Hand_Feeding,0.7,Soft,Omnivorous,23.9,3.2,Good
Juvenile_0.5_10g,39.5,Mash_Powder,8.3,4,26.4,Hand_Feeding,0.1,Hard,Plankton_Feeder,13.3,7.4,Poor
Juvenile_0.5_10g,39,Crumbles,7.1,4,27.3,Feeding_Bag,0.7,Soft,Plankton_Feeder,19.4,6.8,Good
Fry_Larvae,50,Mash_Powder,17,6,30.2,Hand_Feeding,0.1,Soft,Plankton_Feeder,14.3,5.2,Good
Juvenile_0.5_10g,36.9,Mash_Powder,8.2,4,29.2,Hand_Feeding,0.1,Soft,Plankton_Feeder,31.4,4.2,Good
Juvenile_0.5_10g,38.2,Crumbles,12.4,4,33.2,Hand_Feeding,1.1,Medium,Plankton_Feeder,23.5,7.5,Good
Juvenile_10_35g,31.7,Juvenile_Pellet,7.3,3,31.5,Hand_Feeding,1.5,Soft,Omnivorous,16.4,3.9,Poor
Adult_35g_plus,25.4,Adult_Pellet,4.9,4,27.4,Feeding_Bag,3.1,Soft,Omnivorous,42.7,4.3,Poor
Broodstock,30,Adult_Pellet,2.8,2,25.7,Hand_Feeding,3.4,Soft,Omnivorous,22.9,5.1,Good
Fry_Larvae,50,Mash_Powder,19.3,7,25.2,Hand_Feeding,0.1,Soft,Plankton_Feeder,33.8,4.8,Good
Juvenile_10_35g,31,Crumbles,6.4,2,28.7,Feeding_Bag,0.6,Soft,Omnivorous,33.8,5.4,Good
Broodstock,30,Adult_Pellet,2.4,4,28.4,Hand_Feeding,3.9,Medium,Omnivorous,39.6,5.9,Good
Adult_35g_plus,26,Adult_Pellet,4.4,4,28.2,Hand_Feeding,2.7,Soft,Omnivorous,46.3,4.6,Poor
Juvenile_10_35g,33.6,Juvenile_Pellet,10.4,2,33,Feeding_Bag,2.1,Hard,Omnivorous,25.4,5.7,Poor
Fry_Larvae,50,Mash_Powder,24.4,5,24.1,Hand_Feeding,0.1,Soft,Plankton_Feeder,41.8,6.1,Poor
Adult_35g_plus,25.8,Adult_Pellet,4.2,3,28.2,Hand_Feeding,2.9,Soft,Omnivorous,40.2,3.5,Poor
Juvenile_10_35g,33,Crumbles,9.9,2,26.8,Feeding_Bag,1,Soft,Omnivorous,35.6,6.5,Good
Juvenile_0.5_10g,35.9,Crumbles,9,3,29.6,Hand_Feeding,1.1,Soft,Plankton_Feeder,30.2,6.1,Good
Broodstock,30,Adult_Pellet,4.8,4,27.9,Hand_Feeding,3.5,Soft,Omnivorous,33.1,6,Good
Broodstock,30,Adult_Pellet,2.3,4,28.1,Hand_Feeding,3.2,Medium,Omnivorous,12.2,4.7,Poor
Juvenile_0.5_10g,37,Crumbles,8.5,3,30.7,Hand_Feeding,1.4,Soft,Plankton_Feeder,46.7,5.9,Poor
Juvenile_0.5_10g,37.9,Mash_Powder,5.3,4,30.6,Hand_Feeding,0.1,Soft,Plankton_Feeder,10.5,6.3,Good
Fry_Larvae,50,Mash_Powder,16.3,8,26.3,Hand_Feeding,0.1,Soft,Plankton_Feeder,22,4.5,Good
Adult_35g_plus,26.7,Adult_Pellet,3.1,2,28.8,Feeding_Bag,3.4,Soft,Omnivorous,28.1,5.6,Good
Juvenile_10_35g,30.8,Crumbles,14.5,3,30.9,Hand_Feeding,1.4,Soft,Omnivorous,35.8,5,Good
Adult_35g_plus,28.3,Juvenile_Pellet,2.7,4,28.2,Feeding_Bag,1.7,Medium,Omnivorous,32.3,6.6,Good
Juvenile_10_35g,34,Juvenile_Pellet,6.4,3,27.7,Hand_Feeding,2.4,Soft,Omnivorous,45.9,3.1,Poor
Fry_Larvae,50,Mash_Powder,23.7,8,30.3,Hand_Feeding,0.1,Soft,Plankton_Feeder,20.4,4.9,Poor
Juvenile_10_35g,32,Crumbles,7.9,3,27.5,Feeding_Bag,0.9,Soft,Omnivorous,15.6,7.3,Good
Adult_35g_plus,27.1,Juvenile_Pellet,3.6,3,24.6,Hand_Feeding,1.8,Hard,Omnivorous,26.9,3.7,Poor
Adult_35g_plus,29.1,Adult_Pellet,3.5,3,29.9,Hand_Feeding,3.7,Soft,Omnivorous,36.1,7.1,Poor
Fry_Larvae,50,Mash_Powder,28.1,4,32.1,Hand_Feeding,0.1,Soft,Plankton_Feeder,32.9,7.2,Good
Juvenile_10_35g,31.8,Juvenile_Pellet,5.9,4,31.9,Hand_Feeding,1.7,Soft,Omnivorous,25.6,4.4,Poor
Juvenile_0.5_10g,37.8,Mash_Powder,11.6,2,28.2,Hand_Feeding,0.1,Medium,Plankton_Feeder,31.6,3.8,Good
Broodstock,30,Adult_Pellet,3.4,2,28.4,Hand_Feeding,3.4,Medium,Omnivorous,39.1,5.5,Good
Juvenile_0.5_10g,39.1,Crumbles,7.7,4,23.6,Feeding_Bag,1.2,Soft,Plankton_Feeder,15.5,7.8,Good
Juvenile_10_35g,34.4,Crumbles,11.6,3,30.9,Hand_Feeding,1.3,Medium,Omnivorous,49.2,7.5,Poor
Fry_Larvae,50,Mash_Powder,15.7,8,24.9,Feeding_Bag,0.1,Soft,Plankton_Feeder,17.7,3.6,Poor
Adult_35g_plus,25.3,Adult_Pellet,3.9,3,34.5,Hand_Feeding,3.3,Soft,Omnivorous,19.2,3.6,Poor
Juvenile_0.5_10g,38.6,Mash_Powder,8.2,2,31.6,Feeding_Bag,0.1,Medium,Plankton_Feeder,30.8,5.1,Good
Juvenile_10_35g,35,Crumbles,8.8,4,28.5,Hand_Feeding,0.7,Soft,Omnivorous,10.4,3.3,Poor
Juvenile_10_35g,32.9,Crumbles,5.9,2,28.7,Hand_Feeding,0.9,Soft,Omnivorous,14.4,4.8,Good
Juvenile_0.5_10g,35.2,Mash_Powder,14.9,2,22.8,Hand_Feeding,0.1,Hard,Plankton_Feeder,25.7,3.6,Poor
Juvenile_0.5_10g,37.9,Crumbles,11,2,27.8,Hand_Feeding,1.4,Soft,Plankton_Feeder,34.3,5.6,Good
Juvenile_0.5_10g,35.9,Crumbles,5.6,4,28.1,Hand_Feeding,0.9,Soft,Plankton_Feeder,30.7,6,Good
Juvenile_10_35g,32.5,Juvenile_Pellet,9.6,2,31.4,Hand_Feeding,2.4,Medium,Omnivorous,33.2,3.5,Poor
Fry_Larvae,50,Mash_Powder,29.3,7,29.7,Hand_Feeding,0.1,Medium,Plankton_Feeder,23.2,7.7,Good
Juvenile_0.5_10g,35,Crumbles,10.3,4,30.3,Hand_Feeding,0.5,Soft,Plankton_Feeder,37.1,5.8,Good
Adult_35g_plus,28.3,Adult_Pellet,4.1,4,28.1,Hand_Feeding,3.8,Medium,Omnivorous,47.2,3.5,Poor
Adult_35g_plus,29.8,Adult_Pellet,2,4,26.6,Hand_Feeding,3.8,Soft,Omnivorous,42.7,7.2,Poor
Juvenile_0.5_10g,38.1,Crumbles,7.6,2,29.6,Feeding_Bag,1.1,Soft,Plankton_Feeder,14.3,6.8,Good
Juvenile_0.5_10g,38.2,Crumbles,14.4,4,26.9,Hand_Feeding,0.6,Soft,Plankton_Feeder,40.8,6.5,Poor
Fry_Larvae,50,Mash_Powder,29.9,8,28.5,Hand_Feeding,0.1,Soft,Plankton_Feeder,35.9,6,Poor
Adult_35g_plus,26.9,Adult_Pellet,2,2,27.7,Hand_Feeding,2.9,Medium,Omnivorous,44.2,5.6,Good
Adult_35g_plus,28.9,Adult_Pellet,4.6,3,24.9,Hand_Feeding,2.7,Soft,Omnivorous,27.3,7.7,Good
Juvenile_0.5_10g,36.4,Crumbles,13.9,2,26.2,Hand_Feeding,0.9,Soft,Plankton_Feeder,24.7,7.3,Good
Juvenile_0.5_10g,39.3,Crumbles,13.4,4,26.3,Hand_Feeding,1.3,Hard,Plankton_Feeder,15.2,3.2,Poor
Adult_35g_plus,27.4,Adult_Pellet,4.1,2,24.6,Hand_Feeding,2.7,Soft,Omnivorous,36.1,4.6,Poor
Broodstock,30,Adult_Pellet,4,3,27.2,Hand_Feeding,3.2,Medium,Omnivorous,34,4.5,Good
Adult_35g_plus,25.2,Adult_Pellet,2.7,2,34,Hand_Feeding,2.7,Soft,Omnivorous,10.4,4.6,Good
Juvenile_0.5_10g,35.2,Mash_Powder,9,3,27.9,Feeding_Bag,0.1,Medium,Plankton_Feeder,18,6.5,Poor
Adult_35g_plus,29.8,Adult_Pellet,3.8,2,31.7,Feeding_Bag,3.8,Medium,Omnivorous,44.8,6.6,Poor
Adult_35g_plus,25.4,Adult_Pellet,4.5,3,31.8,Hand_Feeding,3.3,Soft,Omnivorous,11.6,3.8,Poor
Juvenile_10_35g,33.3,Crumbles,8.3,2,32.2,Feeding_Bag,1.1,Soft,Omnivorous,36.3,5.5,Good
Juvenile_0.5_10g,40,Crumbles,7,4,27.5,Hand_Feeding,1.2,Medium,Plankton_Feeder,26.7,4,Good
Broodstock,30,Adult_Pellet,3.9,3,30.2,Feeding_Bag,3.8,Medium,Omnivorous,33.1,5.2,Good
Adult_35g_plus,29.5,Adult_Pellet,3.8,3,29.9,Hand_Feeding,2.9,Medium,Omnivorous,25.4,5.3,Good
Adult_35g_plus,27,Adult_Pellet,3.1,3,21.5,Hand_Feeding,3.4,Soft,Omnivorous,19.9,7.4,Good
Juvenile_0.5_10g,38,Mash_Powder,8.9,2,28.9,Hand_Feeding,0.1,Soft,Plankton_Feeder,44.3,3,Poor
Juvenile_0.5_10g,36.2,Mash_Powder,13.8,2,23.2,Hand_Feeding,0.1,Soft,Plankton_Feeder,43.2,5.2,Poor
Adult_35g_plus,25.8,Adult_Pellet,4.2,2,26.4,Hand_Feeding,2.6,Soft,Omnivorous,41.3,6.5,Good
Juvenile_10_35g,32.7,Crumbles,6.2,2,24.9,Feeding_Bag,1.5,Soft,Omnivorous,22.6,5.5,Good
Broodstock,30,Adult_Pellet,4.9,3,29.6,Feeding_Bag,2.5,Soft,Omnivorous,33.2,4.3,Good
Juvenile_10_35g,30.6,Crumbles,14.4,2,26.2,Hand_Feeding,0.6,Medium,Omnivorous,36.9,5.2,Good
Adult_35g_plus,29.2,Adult_Pellet,3.5,2,29.3,Feeding_Bag,3.5,Soft,Omnivorous,44.6,6.8,Good
Broodstock,30,Adult_Pellet,4.5,3,30.1,Hand_Feeding,3.9,Hard,Omnivorous,50,3.2,Poor
Adult_35g_plus,28.9,Adult_Pellet,4.6,2,32.5,Feeding_Bag,3.6,Hard,Omnivorous,47,5.2,Poor
Juvenile_0.5_10g,39.3,Mash_Powder,8,2,24.6,Hand_Feeding,0.1,Soft,Plankton_Feeder,25.8,6.5,Good
Juvenile_0.5_10g,36.9,Mash_Powder,5.7,4,30.9,Hand_Feeding,0.1,Soft,Plankton_Feeder,35.7,6.8,Good
Broodstock,30,Adult_Pellet,4.4,4,23.9,Hand_Feeding,3.9,Medium,Omnivorous,32,6.7,Good
Adult_35g_plus,27.2,Adult_Pellet,4.9,4,28.4,Hand_Feeding,2.6,Soft,Omnivorous,17.9,5.4,Good
Juvenile_10_35g,32.6,Crumbles,10.3,3,25.9,Feeding_Bag,1.4,Soft,Omnivorous,20.9,5.1,Good
Adult_35g_plus,25.9,Adult_Pellet,2.3,3,28.4,Hand_Feeding,3.6,Soft,Omnivorous,46.7,5.1,Good
Juvenile_0.5_10g,37.6,Mash_Powder,5,2,28.6,Feeding_Bag,0.1,Soft,Plankton_Feeder,35.9,3.9,Good
Adult_35g_plus,27.8,Adult_Pellet,4.2,4,33.6,Hand_Feeding,3,Soft,Omnivorous,13.8,6.1,Good
Juvenile_0.5_10g,38.7,Crumbles,6,4,28.1,Hand_Feeding,0.7,Soft,Plankton_Feeder,19.3,5,Good
Broodstock,30,Adult_Pellet,3.2,3,27.6,Hand_Feeding,3.5,Soft,Omnivorous,39,3.1,Good
Juvenile_10_35g,31.7,Juvenile_Pellet,7.6,2,30.8,Hand_Feeding,2.3,Soft,Omnivorous,19.1,4.8,Poor
Fry_Larvae,50,Mash_Powder,18.5,8,32.3,Hand_Feeding,0.1,Soft,Plankton_Feeder,33.7,6.4,Good
Juvenile_0.5_10g,35.3,Mash_Powder,8.6,3,28,Hand_Feeding,0.1,Medium,Plankton_Feeder,48.3,3.9,Poor
Juvenile_10_35g,30.5,Crumbles,8.5,4,28.3,Feeding_Bag,1.3,Soft,Omnivorous,19.4,5,Good
Broodstock,30,Adult_Pellet,3.6,4,26.1,Feeding_Bag,3.8,Soft,Omnivorous,34.3,5.5,Poor
Fry_Larvae,50,Mash_Powder,20.1,4,28.6,Hand_Feeding,0.1,Soft,Plankton_Feeder,47.5,5.8,Good
Juvenile_10_35g,33,Crumbles,10,4,28.2,Hand_Feeding,1.4,Soft,Omnivorous,31.3,6.6,Good
